,model,n_features,outliers,n_splits,mae,mse,r2_score
70,LinearRegression,11,no,5,0.8926927499413836,273.416310396559,-273.416310396559
71,LinearRegression,11,yes,5,0.8926927499413836,273.416310396559,-273.416310396559
72,Pipeline,10,yes,3,6.522919892774154,230.1073174115755,-230.1073174115755
73,Pipeline,10,no,3,6.522919892774154,230.1073174115755,-230.1073174115755
74,LinearRegression,7,no,5,0.8971448019587118,217.63837500038056,-217.63837500038056
75,LinearRegression,7,yes,5,0.8971448019587118,217.63837500038056,-217.63837500038056
76,LinearRegression,10,yes,4,0.9240023927787671,200.5803147758888,-200.5803147758888
77,LinearRegression,10,no,4,0.9240023927787671,200.5803147758888,-200.5803147758888
78,LinearRegression,6,yes,5,0.8670542152243341,191.82280151919645,-191.82280151919645
79,LinearRegression,6,no,5,0.8670542152243341,191.82280151919645,-191.82280151919645
80,LinearRegression,11,no,4,0.9119219622873294,172.0753572838785,-172.0753572838785
81,LinearRegression,11,yes,4,0.9119219622873294,172.0753572838785,-172.0753572838785
82,LinearRegression,9,yes,5,0.8770498051388156,170.4491185093533,-170.4491185093533
83,LinearRegression,9,no,5,0.8770498051388156,170.4491185093533,-170.4491185093533
84,Pipeline,8,no,5,3.4526058050117796,163.0192362269528,-163.0192362269528
85,Pipeline,8,yes,5,3.4526058050117796,163.0192362269528,-163.0192362269528
86,LinearRegression,9,yes,4,0.9190129947000558,146.5458022445443,-146.5458022445443
87,LinearRegression,9,no,4,0.9190129947000558,146.5458022445443,-146.5458022445443
88,LinearRegression,6,yes,4,0.9022095317188557,145.403060259801,-145.403060259801
89,LinearRegression,6,no,4,0.9022095317188557,145.403060259801,-145.403060259801
90,Pipeline,8,no,2,4.988337413248133,144.69077739848694,-144.69077739848694
91,Pipeline,8,yes,2,4.988337413248133,144.69077739848694,-144.69077739848694
92,Pipeline,5,no,2,5.213742885184224,143.6226639253926,-143.6226639253926
93,Pipeline,5,yes,2,5.213742885184224,143.6226639253926,-143.6226639253926
94,LinearRegression,8,yes,5,0.8658733934268262,139.06745033574506,-139.06745033574506
95,LinearRegression,8,no,5,0.8658733934268262,139.06745033574506,-139.06745033574506
96,LinearRegression,7,yes,4,0.9120304941379869,131.46212235550078,-131.46212235550078
97,LinearRegression,7,no,4,0.9120304941379869,131.46212235550078,-131.46212235550078
98,Pipeline,3,no,4,1.2868139111628287,129.48698478539512,-129.48698478539512
99,Pipeline,3,yes,4,1.2868139111628287,129.48698478539512,-129.48698478539512
100,LinearRegression,8,yes,4,0.9068763014613614,126.65382743730953,-126.65382743730953
101,LinearRegression,8,no,4,0.9068763014613614,126.65382743730953,-126.65382743730953
102,LinearRegression,5,yes,4,0.8562894906806011,85.57671961656851,-85.57671961656851
103,LinearRegression,5,no,4,0.8562894906806011,85.57671961656851,-85.57671961656851
104,LinearRegression,15,no,5,0.8689634599539027,78.07517359170865,-78.07517359170865
105,LinearRegression,15,yes,5,0.8689634599539027,78.07517359170865,-78.07517359170865
106,LinearRegression,14,no,5,0.836964242552187,78.04453757131878,-78.04453757131878
107,LinearRegression,14,yes,5,0.836964242552187,78.04453757131878,-78.04453757131878
108,Pipeline,15,yes,5,3.939235813241486,77.57071986071396,-77.57071986071396
109,Pipeline,15,no,5,3.939235813241486,77.57071986071396,-77.57071986071396
110,LinearRegression,5,no,5,0.7990660156572142,63.26786424162283,-63.26786424162283
111,LinearRegression,5,yes,5,0.7990660156572142,63.26786424162283,-63.26786424162283
112,DecisionTreeRegressor,11,yes,4,0.8772253108001631,53.862670693720666,-53.862670693720666
113,DecisionTreeRegressor,11,no,4,0.8772253108001631,53.862670693720666,-53.862670693720666
114,Pipeline,5,no,3,3.1470804614690935,53.85975088391664,-53.85975088391664
115,Pipeline,5,yes,3,3.1470804614690935,53.85975088391664,-53.85975088391664
116,DecisionTreeRegressor,10,yes,4,0.8783519192647591,53.60279508304199,-53.60279508304199
117,DecisionTreeRegressor,10,no,4,0.8783519192647591,53.60279508304199,-53.60279508304199
118,DecisionTreeRegressor,12,no,4,0.8760768145813502,53.597453263128145,-53.597453263128145
119,DecisionTreeRegressor,12,yes,4,0.8760768145813502,53.597453263128145,-53.597453263128145
120,DecisionTreeRegressor,14,yes,4,0.7955351370979132,40.710546497762586,-40.710546497762586
121,DecisionTreeRegressor,14,no,4,0.7955351370979132,40.710546497762586,-40.710546497762586
122,DecisionTreeRegressor,13,yes,4,0.7918134671053008,40.46108500814793,-40.46108500814793
123,DecisionTreeRegressor,13,no,4,0.7918134671053008,40.46108500814793,-40.46108500814793
124,DecisionTreeRegressor,15,yes,4,0.792183436719279,40.35131488853416,-40.35131488853416
125,DecisionTreeRegressor,15,no,4,0.792183436719279,40.35131488853416,-40.35131488853416
126,Pipeline,14,yes,2,3.6167371430979323,39.04601172793872,-39.04601172793872
127,Pipeline,14,no,2,3.6167371430979323,39.04601172793872,-39.04601172793872
128,Pipeline,14,no,3,3.8411851236444416,33.61571755317737,-33.61571755317737
129,Pipeline,14,yes,3,3.8411851236444416,33.61571755317737,-33.61571755317737
130,Pipeline,4,no,2,2.8850756824420998,32.51565971190044,-32.51565971190044
131,Pipeline,4,yes,2,2.8850756824420998,32.51565971190044,-32.51565971190044
132,GradientBoostingRegressor,11,yes,4,0.8462238585167585,32.01444947237071,-32.01444947237071
133,GradientBoostingRegressor,11,no,4,0.8462238585167585,32.01444947237071,-32.01444947237071
134,GradientBoostingRegressor,15,no,4,0.824623223979869,31.07867254747942,-31.07867254747942
135,GradientBoostingRegressor,15,yes,4,0.824623223979869,31.07867254747942,-31.07867254747942
136,LinearRegression,4,yes,4,0.793565257011591,30.897243528429247,-30.897243528429247
137,LinearRegression,4,no,4,0.793565257011591,30.897243528429247,-30.897243528429247
138,GradientBoostingRegressor,13,yes,4,0.8308757535766509,30.094507529640097,-30.094507529640097
139,GradientBoostingRegressor,13,no,4,0.8308757535766509,30.094507529640097,-30.094507529640097
140,GradientBoostingRegressor,14,no,4,0.8291393186366003,29.997306093239033,-29.997306093239033
141,GradientBoostingRegressor,14,yes,4,0.8291393186366003,29.997306093239033,-29.997306093239033
142,GradientBoostingRegressor,10,yes,4,0.826863310750027,29.92791996093512,-29.92791996093512
143,GradientBoostingRegressor,10,no,4,0.826863310750027,29.92791996093512,-29.92791996093512
144,GradientBoostingRegressor,9,no,4,0.841034755296544,28.92072575690996,-28.92072575690996
145,GradientBoostingRegressor,9,yes,4,0.841034755296544,28.92072575690996,-28.92072575690996
146,Pipeline,7,yes,2,2.5588811976412433,28.556999075339697,-28.556999075339697
147,Pipeline,7,no,2,2.5588811976412433,28.556999075339697,-28.556999075339697
148,LinearRegression,15,yes,4,0.8360501148131054,28.439839553556986,-28.439839553556986
149,LinearRegression,15,no,4,0.8360501148131054,28.439839553556986,-28.439839553556986
150,Pipeline,13,yes,2,3.5044133954187124,27.43700862399992,-27.43700862399992
151,Pipeline,13,no,2,3.5044133954187124,27.43700862399992,-27.43700862399992
152,DecisionTreeRegressor,9,no,4,0.8191820101740126,27.382234114041836,-27.382234114041836
153,DecisionTreeRegressor,9,yes,4,0.8191820101740126,27.382234114041836,-27.382234114041836
154,GradientBoostingRegressor,12,no,4,0.8117559696947205,27.08918391704197,-27.08918391704197
155,GradientBoostingRegressor,12,yes,4,0.8117559696947205,27.08918391704197,-27.08918391704197
156,Pipeline,2,no,5,0.9821478659469995,27.03495333589449,-27.03495333589449
157,Pipeline,2,yes,5,0.9821478659469995,27.03495333589449,-27.03495333589449
158,Ridge,15,yes,4,0.8304435695475023,26.19330181766616,-26.19330181766616
159,Ridge,15,no,4,0.8304435695475023,26.19330181766616,-26.19330181766616
160,LinearRegression,14,yes,4,0.8199186298151153,24.049344013301184,-24.049344013301184
161,LinearRegression,14,no,4,0.8199186298151153,24.049344013301184,-24.049344013301184
162,RandomForestRegressor,15,no,4,0.8512988624601563,23.001425984862887,-23.001425984862887
163,RandomForestRegressor,15,yes,4,0.8512988624601563,23.001425984862887,-23.001425984862887
164,LGBMRegressor,15,yes,4,0.8528944259975126,22.732940558406092,-22.732940558406092
165,LGBMRegressor,15,no,4,0.8528944259975126,22.732940558406092,-22.732940558406092
166,RandomForestRegressor,13,no,4,0.8433752099475008,22.558948021180885,-22.558948021180885
167,RandomForestRegressor,13,yes,4,0.8433752099475008,22.558948021180885,-22.558948021180885
168,RandomForestRegressor,10,yes,4,0.8323264537353332,22.554881657571805,-22.554881657571805
169,RandomForestRegressor,10,no,4,0.8323264537353332,22.554881657571805,-22.554881657571805
170,Ridge,14,yes,4,0.816064354197644,22.498931973894084,-22.498931973894084
171,Ridge,14,no,4,0.816064354197644,22.498931973894084,-22.498931973894084
172,DecisionTreeRegressor,8,yes,4,0.7779127324824231,22.24685106560597,-22.24685106560597
173,DecisionTreeRegressor,8,no,4,0.7779127324824231,22.24685106560597,-22.24685106560597
174,RandomForestRegressor,14,no,4,0.8366849251969979,21.886227139115498,-21.886227139115498
175,RandomForestRegressor,14,yes,4,0.8366849251969979,21.886227139115498,-21.886227139115498
176,Ridge,9,no,4,0.8203619303337699,21.504531169019568,-21.504531169019568
177,Ridge,9,yes,4,0.8203619303337699,21.504531169019568,-21.504531169019568
178,Ridge,8,yes,4,0.819741700533638,21.48671485327792,-21.48671485327792
179,Ridge,8,no,4,0.819741700533638,21.48671485327792,-21.48671485327792
180,RandomForestRegressor,9,yes,4,0.8270966628352993,21.35207981818954,-21.35207981818954
181,RandomForestRegressor,9,no,4,0.8270966628352993,21.35207981818954,-21.35207981818954
182,RandomForestRegressor,11,yes,4,0.8376991690411024,21.260960782248237,-21.260960782248237
183,RandomForestRegressor,11,no,4,0.8376991690411024,21.260960782248237,-21.260960782248237
184,LGBMRegressor,11,no,4,0.8310969778678126,20.920201421761035,-20.920201421761035
185,LGBMRegressor,11,yes,4,0.8310969778678126,20.920201421761035,-20.920201421761035
186,LGBMRegressor,10,yes,4,0.8281664065569505,20.909905139073896,-20.909905139073896
187,LGBMRegressor,10,no,4,0.8281664065569505,20.909905139073896,-20.909905139073896
188,LGBMRegressor,12,no,4,0.8358046411910227,20.746505113115578,-20.746505113115578
189,LGBMRegressor,12,yes,4,0.8358046411910227,20.746505113115578,-20.746505113115578
190,RandomForestRegressor,12,no,4,0.8327014678525557,20.08642921716439,-20.08642921716439
191,RandomForestRegressor,12,yes,4,0.8327014678525557,20.08642921716439,-20.08642921716439
192,LGBMRegressor,13,yes,4,0.8381366476034746,19.935760154562228,-19.935760154562228
193,LGBMRegressor,14,no,4,0.8381366476034746,19.935760154562228,-19.935760154562228
194,LGBMRegressor,13,no,4,0.8381366476034746,19.935760154562228,-19.935760154562228
195,LGBMRegressor,14,yes,4,0.8381366476034746,19.935760154562228,-19.935760154562228
196,Pipeline,13,yes,3,3.2823461726565366,19.741989200305454,-19.741989200305454
197,Pipeline,13,no,3,3.2823461726565366,19.741989200305454,-19.741989200305454
198,LinearRegression,12,no,4,0.8155431476812361,18.93386702149587,-18.93386702149587
199,LinearRegression,12,yes,4,0.8155431476812361,18.93386702149587,-18.93386702149587
200,DecisionTreeRegressor,12,yes,5,0.8110816407400634,17.828522539269084,-17.828522539269084
201,DecisionTreeRegressor,12,no,5,0.8110816407400634,17.828522539269084,-17.828522539269084
202,Ridge,12,yes,4,0.8060674152041323,17.70360270280606,-17.70360270280606
203,Ridge,12,no,4,0.8060674152041323,17.70360270280606,-17.70360270280606
204,DecisionTreeRegressor,5,yes,4,0.7434521069507001,17.619942254498916,-17.619942254498916
205,DecisionTreeRegressor,5,no,4,0.7434521069507001,17.619942254498916,-17.619942254498916
206,LinearRegression,4,no,5,0.7448478182679208,17.497678929798187,-17.497678929798187
207,LinearRegression,4,yes,5,0.7448478182679208,17.497678929798187,-17.497678929798187
208,LinearRegression,13,yes,4,0.8119350047010642,17.26760659994485,-17.26760659994485
209,LinearRegression,13,no,4,0.8119350047010642,17.26760659994485,-17.26760659994485
210,LGBMRegressor,9,yes,4,0.8166501443981464,17.127936960946613,-17.127936960946613
211,LGBMRegressor,9,no,4,0.8166501443981464,17.127936960946613,-17.127936960946613
212,DecisionTreeRegressor,10,no,5,0.8298125866700776,17.09294073546527,-17.09294073546527
213,DecisionTreeRegressor,10,yes,5,0.8298125866700776,17.09294073546527,-17.09294073546527
214,DecisionTreeRegressor,11,yes,5,0.7563945580989936,16.724074626855405,-16.724074626855405
215,DecisionTreeRegressor,11,no,5,0.7563945580989936,16.724074626855405,-16.724074626855405
216,Ridge,13,no,4,0.8063461292860352,16.66281047352444,-16.66281047352444
