model,n_features,n_splits,scorer,outliers,scores
LinearRegression,2,3,r2_score,yes,[-4.84599005e-01 -2.31482333e-01 -7.60139577e+02]
LinearRegression,2,3,r2_score,no,[-0.35117716 -0.38772524 -1.59449232]
LinearRegression,2,3,mae,yes,[-0.7641549  -1.23958605 -1.00022821]
LinearRegression,2,3,mae,no,[-0.60095855 -1.26521948 -0.86032715]
LinearRegression,2,3,mse,yes,[4.84599005e-01 2.31482333e-01 7.60139577e+02]
LinearRegression,2,3,mse,no,[0.35117716 0.38772524 1.59449232]
LinearRegression,3,3,r2_score,yes,[-4.84675507e-01 -2.42894854e-01 -1.11810162e+03]
LinearRegression,3,3,r2_score,no,[-0.34242044 -0.37115959 -8.58222931]
LinearRegression,3,3,mae,yes,[-0.76510703 -1.24034787 -1.35863421]
LinearRegression,3,3,mae,no,[-0.59866882 -1.28605746 -1.70789069]
LinearRegression,3,3,mse,yes,[4.84675507e-01 2.42894854e-01 1.11810162e+03]
LinearRegression,3,3,mse,no,[0.34242044 0.37115959 8.58222931]
LinearRegression,4,3,r2_score,yes,[-5.00934749e-01 -2.37420206e-01 -1.50283085e+03]
LinearRegression,4,3,r2_score,no,[-0.31899933 -0.36445543 -9.10567655]
LinearRegression,4,3,mae,yes,[-0.77719177 -1.23179947 -1.5033866 ]
LinearRegression,4,3,mae,no,[-0.59406871 -1.29804309 -1.75167133]
LinearRegression,4,3,mse,yes,[5.00934749e-01 2.37420206e-01 1.50283085e+03]
LinearRegression,4,3,mse,no,[0.31899933 0.36445543 9.10567655]
LinearRegression,5,3,r2_score,yes,[-4.98778012e-01 -2.70869976e-01 -1.65051479e+03]
LinearRegression,5,3,r2_score,no,[ -0.3161874   -0.36286115 -11.26750787]
LinearRegression,5,3,mae,yes,[-0.77703556 -1.25501337 -1.58953952]
LinearRegression,5,3,mae,no,[-0.59366883 -1.29616849 -1.92973151]
LinearRegression,5,3,mse,yes,[4.98778012e-01 2.70869976e-01 1.65051479e+03]
LinearRegression,5,3,mse,no,[ 0.3161874   0.36286115 11.26750787]
LinearRegression,6,3,r2_score,yes,[-5.54461027e-01 -3.09578962e-01 -5.05214024e+03]
LinearRegression,6,3,r2_score,no,[ -0.36216956  -0.36706878 -12.48089176]
LinearRegression,6,3,mae,yes,[-0.76500166 -1.25413572 -2.08421472]
LinearRegression,6,3,mae,no,[-0.57324289 -1.29707645 -2.01033439]
LinearRegression,6,3,mse,yes,[5.54461027e-01 3.09578962e-01 5.05214024e+03]
LinearRegression,6,3,mse,no,[ 0.36216956  0.36706878 12.48089176]
LinearRegression,7,3,r2_score,yes,[-5.71199418e-01 -3.09932879e-01 -5.15829604e+03]
LinearRegression,7,3,r2_score,no,[ -0.68623866  -0.37344453 -12.47842665]
LinearRegression,7,3,mae,yes,[-0.77306892 -1.25800968 -2.09880178]
LinearRegression,7,3,mae,no,[-0.64019768 -1.2915395  -2.01154956]
LinearRegression,7,3,mse,yes,[5.71199418e-01 3.09932879e-01 5.15829604e+03]
LinearRegression,7,3,mse,no,[ 0.68623866  0.37344453 12.47842665]
LinearRegression,8,3,r2_score,yes,[-5.31331954e-01 -3.39543133e-01 -5.13853099e+03]
LinearRegression,8,3,r2_score,no,[ -0.61425104  -0.36478963 -11.10812713]
LinearRegression,8,3,mae,yes,[-0.76442971 -1.30253745 -2.10843942]
LinearRegression,8,3,mae,no,[-0.62444598 -1.29799254 -1.90857511]
LinearRegression,8,3,mse,yes,[5.31331954e-01 3.39543133e-01 5.13853099e+03]
LinearRegression,8,3,mse,no,[ 0.61425104  0.36478963 11.10812713]
LinearRegression,9,3,r2_score,yes,[-5.31225817e-01 -3.13365505e-01 -1.40868946e+04]
LinearRegression,9,3,r2_score,no,[ -0.73956524  -0.34036371 -11.97225243]
LinearRegression,9,3,mae,yes,[-0.76437713 -1.29834421 -3.1653397 ]
LinearRegression,9,3,mae,no,[-0.65231099 -1.29358949 -1.88961048]
LinearRegression,9,3,mse,yes,[5.31225817e-01 3.13365505e-01 1.40868946e+04]
LinearRegression,9,3,mse,no,[ 0.73956524  0.34036371 11.97225243]
LinearRegression,10,3,r2_score,yes,[-7.90013981e-01 -2.44898926e-01 -1.69969271e+04]
LinearRegression,10,3,r2_score,no,[-0.56663609 -0.32260451 -9.61047407]
LinearRegression,10,3,mae,yes,[-0.81534962 -1.23786272 -3.10973746]
LinearRegression,10,3,mae,no,[-0.60987808 -1.28396418 -1.69299273]
LinearRegression,10,3,mse,yes,[7.90013981e-01 2.44898926e-01 1.69969271e+04]
LinearRegression,10,3,mse,no,[0.56663609 0.32260451 9.61047407]
LinearRegression,11,3,r2_score,yes,[-7.85324980e-01 -2.31615870e-01 -1.18802464e+04]
LinearRegression,11,3,r2_score,no,[-0.61587042 -0.32793721 -8.67563457]
LinearRegression,11,3,mae,yes,[-0.80102115 -1.22790597 -2.59771157]
LinearRegression,11,3,mae,no,[-0.61548927 -1.28592527 -1.63993969]
LinearRegression,11,3,mse,yes,[7.85324980e-01 2.31615870e-01 1.18802464e+04]
LinearRegression,11,3,mse,no,[0.61587042 0.32793721 8.67563457]
LinearRegression,12,3,r2_score,yes,[-7.73215011e-01 -2.87719022e-01 -1.19351774e+04]
LinearRegression,12,3,r2_score,no,[-0.52616081 -0.28645188 -8.66412951]
LinearRegression,12,3,mae,yes,[-0.79534869 -1.25849364 -2.60276779]
LinearRegression,12,3,mae,no,[-0.60406847 -1.24000033 -1.69694579]
LinearRegression,12,3,mse,yes,[7.73215011e-01 2.87719022e-01 1.19351774e+04]
LinearRegression,12,3,mse,no,[0.52616081 0.28645188 8.66412951]
LinearRegression,13,3,r2_score,yes,[-7.93126927e-01 -2.95310350e-01 -1.14608842e+04]
LinearRegression,13,3,r2_score,no,[-0.51355559 -0.28639045 -8.10945071]
LinearRegression,13,3,mae,yes,[-0.80052571 -1.25561127 -2.53762805]
