model,n_features,n_splits,scorer,outliers,scores
Ridge,2,5,r2_score,no,"[-8.30287968e+00 -8.08785269e-01  2.76184737e-02 -8.52366266e-01
 -1.64288565e+02]"
Ridge,2,5,mae,yes,[-0.16686127 -1.05820237 -0.51647969 -1.52947703 -0.42825781]
Ridge,2,5,mae,no,[-0.12884478 -0.84465142 -0.55849334 -1.66056447 -0.54679153]
Ridge,2,5,mse,yes,[ 8.99961588  1.07305464  0.20494454  0.51996729 97.00882036]
Ridge,2,5,mse,no,"[ 8.30287968e+00  8.08785269e-01 -2.76184737e-02  8.52366266e-01
  1.64288565e+02]"
Ridge,3,5,r2_score,yes,"[-9.16451216e+00 -1.07291774e+00 -1.99842030e-01 -5.16878602e-01
 -4.12134905e+02]"
Ridge,3,5,r2_score,no,"[-8.42842694e+00 -8.07794682e-01  2.58357967e-02 -8.52985977e-01
 -1.50915720e+02]"
Ridge,3,5,mae,yes,[-0.16906066 -1.05805792 -0.51476193 -1.48292061 -0.48545471]
Ridge,3,5,mae,no,[-0.13131555 -0.84463514 -0.5622501  -1.65780089 -0.52373472]
Ridge,3,5,mse,yes,"[9.16451216e+00 1.07291774e+00 1.99842030e-01 5.16878602e-01
 4.12134905e+02]"
Ridge,3,5,mse,no,"[ 8.42842694e+00  8.07794682e-01 -2.58357967e-02  8.52985977e-01
  1.50915720e+02]"
Ridge,4,5,r2_score,yes,"[-1.00055713e+01 -1.09004641e+00 -1.72357970e-01 -5.08165062e-01
 -3.44970221e+02]"
Ridge,4,5,r2_score,no,"[-8.98061711e+00 -7.42602929e-01  2.50570554e-02 -8.54337763e-01
 -1.81911481e+02]"
Ridge,4,5,mae,yes,[-0.17304101 -1.07131447 -0.50237026 -1.49246925 -0.457036  ]
Ridge,4,5,mae,no,[-0.13655724 -0.83266841 -0.5598764  -1.65341182 -0.57047762]
Ridge,4,5,mse,yes,"[1.00055713e+01 1.09004641e+00 1.72357970e-01 5.08165062e-01
 3.44970221e+02]"
Ridge,4,5,mse,no,"[ 8.98061711e+00  7.42602929e-01 -2.50570554e-02  8.54337763e-01
  1.81911481e+02]"
Ridge,5,5,r2_score,yes,"[-1.49668567e+01 -1.08756749e+00 -2.67374293e-01 -5.26080465e-01
 -4.94657701e+02]"
Ridge,5,5,r2_score,no,"[-3.16512593e+01 -7.60411847e-01  2.82700355e-02 -8.33223837e-01
 -2.09684513e+02]"
Ridge,5,5,mae,yes,[-0.21703554 -1.07054093 -0.53811249 -1.48627056 -0.5481179 ]
Ridge,5,5,mae,no,[-0.24778715 -0.83651679 -0.55427745 -1.65411234 -0.60794701]
Ridge,5,5,mse,yes,"[1.49668567e+01 1.08756749e+00 2.67374293e-01 5.26080465e-01
 4.94657701e+02]"
Ridge,5,5,mse,no,"[ 3.16512593e+01  7.60411847e-01 -2.82700355e-02  8.33223837e-01
  2.09684513e+02]"
Ridge,6,5,r2_score,yes,"[-1.17394759e+01 -1.14099922e+00 -2.68562253e-01 -5.37358997e-01
 -2.65359973e+03]"
Ridge,6,5,r2_score,no,"[-3.02400091e+01 -8.87634517e-01  1.61548505e-02 -7.52695175e-01
 -3.96630633e+02]"
Ridge,6,5,mae,yes,[-0.18284918 -1.07388742 -0.52248388 -1.48943332 -1.06662855]
Ridge,6,5,mae,no,[-0.20188831 -0.84634976 -0.55451813 -1.6176801  -0.84213169]
Ridge,6,5,mse,yes,"[1.17394759e+01 1.14099922e+00 2.68562253e-01 5.37358997e-01
 2.65359973e+03]"
Ridge,6,5,mse,no,"[ 3.02400091e+01  8.87634517e-01 -1.61548505e-02  7.52695175e-01
  3.96630633e+02]"
Ridge,7,5,r2_score,yes,"[-9.49832095e+00 -1.15555701e+00 -2.62468563e-01 -5.56048026e-01
 -2.65253024e+03]"
Ridge,7,5,r2_score,no,"[-2.76544168e+01 -1.02435213e+00 -1.92777278e-02 -7.91542720e-01
 -4.06581843e+02]"
Ridge,7,5,mae,yes,[-0.17301543 -1.07851181 -0.52806025 -1.50662357 -1.06124672]
Ridge,7,5,mae,no,[-0.21821911 -0.88274134 -0.54875318 -1.65816949 -0.8523109 ]
Ridge,7,5,mse,yes,"[9.49832095e+00 1.15555701e+00 2.62468563e-01 5.56048026e-01
 2.65253024e+03]"
Ridge,7,5,mse,no,"[2.76544168e+01 1.02435213e+00 1.92777278e-02 7.91542720e-01
 4.06581843e+02]"
Ridge,8,5,r2_score,yes,"[-1.27411907e+01 -1.13204302e+00 -4.46806712e-01 -5.61068382e-01
 -2.78007140e+03]"
Ridge,8,5,r2_score,no,"[-2.31790985e+01 -9.81224070e-01 -2.93057532e-03 -7.88693894e-01
 -3.75133598e+02]"
Ridge,8,5,mae,yes,[-0.19184903 -1.06950815 -0.56883538 -1.48622599 -1.05681767]
Ridge,8,5,mae,no,[-0.19111149 -0.8724156  -0.55979986 -1.61861989 -0.8163405 ]
Ridge,8,5,mse,yes,"[1.27411907e+01 1.13204302e+00 4.46806712e-01 5.61068382e-01
 2.78007140e+03]"
Ridge,8,5,mse,no,"[2.31790985e+01 9.81224070e-01 2.93057532e-03 7.88693894e-01
 3.75133598e+02]"
Ridge,9,5,r2_score,yes,"[-1.27521109e+01 -1.12887713e+00 -4.26482410e-01 -5.45208008e-01
 -6.97552105e+03]"
Ridge,9,5,r2_score,no,"[-2.32302015e+01 -1.01621998e+00  1.07156259e-02 -7.56040505e-01
 -7.62131265e+02]"
Ridge,9,5,mae,yes,[-0.191973   -1.06877292 -0.57503693 -1.45725288 -2.07490707]
Ridge,9,5,mae,no,[-0.18942168 -0.88085111 -0.56197323 -1.58135258 -0.91201713]
Ridge,9,5,mse,yes,"[1.27521109e+01 1.12887713e+00 4.26482410e-01 5.45208008e-01
 6.97552105e+03]"
Ridge,9,5,mse,no,"[ 2.32302015e+01  1.01621998e+00 -1.07156259e-02  7.56040505e-01
  7.62131265e+02]"
Ridge,10,5,r2_score,yes,"[-1.18670824e+01 -1.50486548e+00 -1.84165051e-01 -5.31074945e-01
 -7.13014204e+03]"
Ridge,10,5,r2_score,no,"[-1.83402832e+01 -9.87768073e-01 -6.39893448e-03 -7.40874686e-01
 -5.87839350e+02]"
Ridge,10,5,mae,yes,[-0.18320153 -1.14718182 -0.49191222 -1.49667586 -1.88381379]
Ridge,10,5,mae,no,[-0.17406191 -0.86327294 -0.56698491 -1.56226054 -0.72437747]
Ridge,10,5,mse,yes,"[1.18670824e+01 1.50486548e+00 1.84165051e-01 5.31074945e-01
 7.13014204e+03]"
Ridge,10,5,mse,no,"[1.83402832e+01 9.87768073e-01 6.39893448e-03 7.40874686e-01
 5.87839350e+02]"
Ridge,11,5,r2_score,yes,"[-1.06692296e+01 -1.46491085e+00 -2.07088930e-01 -5.19111936e-01
 -4.99231762e+03]"
Ridge,11,5,r2_score,no,"[-1.89184118e+01 -1.01558973e+00  3.30354317e-03 -7.96737805e-01
 -4.58324917e+02]"
Ridge,11,5,mae,yes,[-0.17071552 -1.13975539 -0.49175415 -1.48402084 -1.37729752]
Ridge,11,5,mae,no,[-0.17794726 -0.86885935 -0.56707207 -1.59102015 -0.66915156]
Ridge,11,5,mse,yes,"[1.06692296e+01 1.46491085e+00 2.07088930e-01 5.19111936e-01
 4.99231762e+03]"
Ridge,11,5,mse,no,"[ 1.89184118e+01  1.01558973e+00 -3.30354317e-03  7.96737805e-01
  4.58324917e+02]"
Ridge,12,5,r2_score,yes,"[-7.72904531e+00 -1.46799814e+00 -4.98306251e-01 -5.20355178e-01
 -5.10859197e+03]"
Ridge,12,5,r2_score,no,"[-1.62121238e+01 -8.56095745e-01 -3.13682675e-02 -7.38141518e-01
 -3.20418206e+02]"
Ridge,12,5,mae,yes,[-0.15911422 -1.13282763 -0.52879906 -1.4809166  -1.40084278]
Ridge,12,5,mae,no,[-0.16587276 -0.82592362 -0.55761722 -1.60434318 -0.6449115 ]
Ridge,12,5,mse,yes,"[7.72904531e+00 1.46799814e+00 4.98306251e-01 5.20355178e-01
 5.10859197e+03]"
Ridge,12,5,mse,no,"[1.62121238e+01 8.56095745e-01 3.13682675e-02 7.38141518e-01
 3.20418206e+02]"
Ridge,13,5,r2_score,yes,"[-6.63128721e+00 -1.48474902e+00 -4.92372403e-01 -5.25376685e-01
 -4.85280083e+03]"
Ridge,13,5,r2_score,no,"[-1.49391333e+01 -8.82451368e-01 -2.84080540e-02 -7.45319033e-01
 -2.37838962e+02]"
Ridge,13,5,mae,yes,[-0.14597841 -1.14337965 -0.52105836 -1.48417524 -1.3470927 ]
Ridge,13,5,mae,no,[-0.15850766 -0.84649678 -0.55649487 -1.57413101 -0.59581304]
Ridge,13,5,mse,yes,"[6.63128721e+00 1.48474902e+00 4.92372403e-01 5.25376685e-01
 4.85280083e+03]"
Ridge,13,5,mse,no,"[1.49391333e+01 8.82451368e-01 2.84080540e-02 7.45319033e-01
 2.37838962e+02]"
Ridge,14,5,r2_score,yes,"[-6.98443177e+00 -1.49861221e+00 -7.91883650e-01 -5.36090070e-01
 -4.79942117e+03]"
Ridge,14,5,r2_score,no,"[-1.49391333e+01 -8.82451368e-01 -2.84080540e-02 -7.45319033e-01
 -2.37838962e+02]"
Ridge,14,5,mae,yes,[-0.1507175  -1.1477442  -0.56134811 -1.49565112 -1.32855164]
Ridge,14,5,mae,no,[-0.15850766 -0.84649678 -0.55649487 -1.57413101 -0.59581304]
Ridge,14,5,mse,yes,"[6.98443177e+00 1.49861221e+00 7.91883650e-01 5.36090070e-01
 4.79942117e+03]"
Ridge,14,5,mse,no,"[1.49391333e+01 8.82451368e-01 2.84080540e-02 7.45319033e-01
 2.37838962e+02]"
Ridge,15,5,r2_score,yes,"[-6.98443177e+00 -1.57828076e+00 -8.51305858e-01 -4.89213843e-01
 -7.47940475e+03]"
Ridge,15,5,r2_score,no,"[-1.49391333e+01 -9.55968206e-01 -1.22897099e-02 -6.54510652e-01
 -7.48763971e+01]"
Ridge,15,5,mae,yes,[-0.1507175  -1.16409489 -0.59012128 -1.47856623 -1.26581379]
Ridge,15,5,mae,no,[-0.15850766 -0.85977104 -0.56219526 -1.53057785 -0.26352965]
Ridge,15,5,mse,yes,"[6.98443177e+00 1.57828076e+00 8.51305858e-01 4.89213843e-01
 7.47940475e+03]"
Ridge,15,5,mse,no,"[1.49391333e+01 9.55968206e-01 1.22897099e-02 6.54510652e-01
 7.48763971e+01]"
Lasso,2,2,r2_score,yes,[-0.22060302 -0.08264053]
Lasso,2,2,r2_score,no,[-0.14851857 -0.19097515]
Lasso,2,2,mae,yes,[-0.62759083 -0.91184221]
Lasso,2,2,mae,no,[-0.52108932 -0.9919497 ]
Lasso,2,2,mse,yes,[0.22060302 0.08264053]
Lasso,2,2,mse,no,[0.14851857 0.19097515]
Lasso,3,2,r2_score,yes,[-0.22060302 -0.08264053]
Lasso,3,2,r2_score,no,[-0.14851857 -0.19097515]
Lasso,3,2,mae,yes,[-0.62759083 -0.91184221]
Lasso,3,2,mae,no,[-0.52108932 -0.9919497 ]
Lasso,3,2,mse,yes,[0.22060302 0.08264053]
Lasso,3,2,mse,no,[0.14851857 0.19097515]
Lasso,4,2,r2_score,yes,[-0.22060302 -0.08264053]
Lasso,4,2,r2_score,no,[-0.14851857 -0.19097515]
Lasso,4,2,mae,yes,[-0.62759083 -0.91184221]
Lasso,4,2,mae,no,[-0.52108932 -0.9919497 ]
Lasso,4,2,mse,yes,[0.22060302 0.08264053]
Lasso,4,2,mse,no,[0.14851857 0.19097515]
Lasso,5,2,r2_score,yes,[-0.22060302 -0.08264053]
Lasso,5,2,r2_score,no,[-0.14851857 -0.19097515]
Lasso,5,2,mae,yes,[-0.62759083 -0.91184221]
Lasso,5,2,mae,no,[-0.52108932 -0.9919497 ]
Lasso,5,2,mse,yes,[0.22060302 0.08264053]
Lasso,5,2,mse,no,[0.14851857 0.19097515]
Lasso,6,2,r2_score,yes,[-0.22060302 -0.08264053]
Lasso,6,2,r2_score,no,[-0.14851857 -0.19097515]
Lasso,6,2,mae,yes,[-0.62759083 -0.91184221]
Lasso,6,2,mae,no,[-0.52108932 -0.9919497 ]
Lasso,6,2,mse,yes,[0.22060302 0.08264053]
Lasso,6,2,mse,no,[0.14851857 0.19097515]
Lasso,7,2,r2_score,yes,[-0.22060302 -0.08264053]
Lasso,7,2,r2_score,no,[-0.14851857 -0.19097515]
Lasso,7,2,mae,yes,[-0.62759083 -0.91184221]
Lasso,7,2,mae,no,[-0.52108932 -0.9919497 ]
Lasso,7,2,mse,yes,[0.22060302 0.08264053]
Lasso,7,2,mse,no,[0.14851857 0.19097515]
Lasso,8,2,r2_score,yes,[-0.22060302 -0.08264053]
Lasso,8,2,r2_score,no,[-0.14851857 -0.19097515]
Lasso,8,2,mae,yes,[-0.62759083 -0.91184221]
Lasso,8,2,mae,no,[-0.52108932 -0.9919497 ]
Lasso,8,2,mse,yes,[0.22060302 0.08264053]
Lasso,8,2,mse,no,[0.14851857 0.19097515]
Lasso,9,2,r2_score,yes,[-0.22060302 -0.08264053]
Lasso,9,2,r2_score,no,[-0.14851857 -0.19097515]
Lasso,9,2,mae,yes,[-0.62759083 -0.91184221]
Lasso,9,2,mae,no,[-0.52108932 -0.9919497 ]
Lasso,9,2,mse,yes,[0.22060302 0.08264053]
Lasso,9,2,mse,no,[0.14851857 0.19097515]
Lasso,10,2,r2_score,yes,[-0.22060302 -0.08264053]
Lasso,10,2,r2_score,no,[-0.14851857 -0.19097515]
Lasso,10,2,mae,yes,[-0.62759083 -0.91184221]
Lasso,10,2,mae,no,[-0.52108932 -0.9919497 ]
Lasso,10,2,mse,yes,[0.22060302 0.08264053]
Lasso,10,2,mse,no,[0.14851857 0.19097515]
Lasso,11,2,r2_score,yes,[-0.22060302 -0.08264053]
Lasso,11,2,r2_score,no,[-0.14851857 -0.19097515]
Lasso,11,2,mae,yes,[-0.62759083 -0.91184221]
Lasso,11,2,mae,no,[-0.52108932 -0.9919497 ]
Lasso,11,2,mse,yes,[0.22060302 0.08264053]
Lasso,11,2,mse,no,[0.14851857 0.19097515]
Lasso,12,2,r2_score,yes,[-0.22060302 -0.08264053]
Lasso,12,2,r2_score,no,[-0.14851857 -0.19097515]
Lasso,12,2,mae,yes,[-0.62759083 -0.91184221]
Lasso,12,2,mae,no,[-0.52108932 -0.9919497 ]
Lasso,12,2,mse,yes,[0.22060302 0.08264053]
Lasso,12,2,mse,no,[0.14851857 0.19097515]
Lasso,13,2,r2_score,yes,[-0.22060302 -0.08264053]
Lasso,13,2,r2_score,no,[-0.14851857 -0.19097515]
Lasso,13,2,mae,yes,[-0.62759083 -0.91184221]
Lasso,13,2,mae,no,[-0.52108932 -0.9919497 ]
Lasso,13,2,mse,yes,[0.22060302 0.08264053]
Lasso,13,2,mse,no,[0.14851857 0.19097515]
Lasso,14,2,r2_score,yes,[-0.22060302 -0.08264053]
Lasso,14,2,r2_score,no,[-0.14851857 -0.19097515]
Lasso,14,2,mae,yes,[-0.62759083 -0.91184221]
Lasso,14,2,mae,no,[-0.52108932 -0.9919497 ]
Lasso,14,2,mse,yes,[0.22060302 0.08264053]
Lasso,14,2,mse,no,[0.14851857 0.19097515]
Lasso,15,2,r2_score,yes,[-0.22060302 -0.08264053]
Lasso,15,2,r2_score,no,[-0.14851857 -0.19097515]
Lasso,15,2,mae,yes,[-0.62759083 -0.91184221]
Lasso,15,2,mae,no,[-0.52108932 -0.9919497 ]
Lasso,15,2,mse,yes,[0.22060302 0.08264053]
Lasso,15,2,mse,no,[0.14851857 0.19097515]
Lasso,2,3,r2_score,yes,[-2.54225658e-01 -1.85897290e-01 -2.24943189e+02]
Lasso,2,3,r2_score,no,[-0.12515302 -0.33345276 -0.69419314]
Lasso,2,3,mae,yes,[-0.75341181 -1.2139069  -0.61692839]
Lasso,2,3,mae,no,[-0.61132319 -1.25632501 -0.64799153]
Lasso,2,3,mse,yes,[2.54225658e-01 1.85897290e-01 2.24943189e+02]
Lasso,2,3,mse,no,[0.12515302 0.33345276 0.69419314]
Lasso,3,3,r2_score,yes,[-2.54225658e-01 -1.85897290e-01 -2.24943189e+02]
Lasso,3,3,r2_score,no,[-0.12515302 -0.33345276 -0.69419314]
Lasso,3,3,mae,yes,[-0.75341181 -1.2139069  -0.61692839]
Lasso,3,3,mae,no,[-0.61132319 -1.25632501 -0.64799153]
Lasso,3,3,mse,yes,[2.54225658e-01 1.85897290e-01 2.24943189e+02]
Lasso,3,3,mse,no,[0.12515302 0.33345276 0.69419314]
Lasso,4,3,r2_score,yes,[-2.54225658e-01 -1.85897290e-01 -2.24943189e+02]
Lasso,4,3,r2_score,no,[-0.12515302 -0.33345276 -0.69419314]
Lasso,4,3,mae,yes,[-0.75341181 -1.2139069  -0.61692839]
Lasso,4,3,mae,no,[-0.61132319 -1.25632501 -0.64799153]
Lasso,4,3,mse,yes,[2.54225658e-01 1.85897290e-01 2.24943189e+02]
Lasso,4,3,mse,no,[0.12515302 0.33345276 0.69419314]
Lasso,5,3,r2_score,yes,[-2.54225658e-01 -1.85897290e-01 -2.24943189e+02]
Lasso,5,3,r2_score,no,[-0.12515302 -0.33345276 -0.69419314]
Lasso,5,3,mae,yes,[-0.75341181 -1.2139069  -0.61692839]
Lasso,5,3,mae,no,[-0.61132319 -1.25632501 -0.64799153]
Lasso,5,3,mse,yes,[2.54225658e-01 1.85897290e-01 2.24943189e+02]
Lasso,5,3,mse,no,[0.12515302 0.33345276 0.69419314]
Lasso,6,3,r2_score,yes,[-2.54225658e-01 -1.85897290e-01 -2.24943189e+02]
Lasso,6,3,r2_score,no,[-0.12515302 -0.33345276 -0.69419314]
Lasso,6,3,mae,yes,[-0.75341181 -1.2139069  -0.61692839]
Lasso,6,3,mae,no,[-0.61132319 -1.25632501 -0.64799153]
Lasso,6,3,mse,yes,[2.54225658e-01 1.85897290e-01 2.24943189e+02]
Lasso,6,3,mse,no,[0.12515302 0.33345276 0.69419314]
Lasso,7,3,r2_score,yes,[-2.54225658e-01 -1.85897290e-01 -2.24943189e+02]
Lasso,7,3,r2_score,no,[-0.12515302 -0.33345276 -0.69419314]
Lasso,7,3,mae,yes,[-0.75341181 -1.2139069  -0.61692839]
Lasso,7,3,mae,no,[-0.61132319 -1.25632501 -0.64799153]
Lasso,7,3,mse,yes,[2.54225658e-01 1.85897290e-01 2.24943189e+02]
Lasso,7,3,mse,no,[0.12515302 0.33345276 0.69419314]
Lasso,8,3,r2_score,yes,[-2.54225658e-01 -1.85897290e-01 -2.24943189e+02]
Lasso,8,3,r2_score,no,[-0.12515302 -0.33345276 -0.69419314]
Lasso,8,3,mae,yes,[-0.75341181 -1.2139069  -0.61692839]
Lasso,8,3,mae,no,[-0.61132319 -1.25632501 -0.64799153]
Lasso,8,3,mse,yes,[2.54225658e-01 1.85897290e-01 2.24943189e+02]
Lasso,8,3,mse,no,[0.12515302 0.33345276 0.69419314]
Lasso,9,3,r2_score,yes,[-2.54225658e-01 -1.85897290e-01 -2.24943189e+02]
Lasso,9,3,r2_score,no,[-0.12515302 -0.33345276 -0.69419314]
Lasso,9,3,mae,yes,[-0.75341181 -1.2139069  -0.61692839]
Lasso,9,3,mae,no,[-0.61132319 -1.25632501 -0.64799153]
Lasso,9,3,mse,yes,[2.54225658e-01 1.85897290e-01 2.24943189e+02]
Lasso,9,3,mse,no,[0.12515302 0.33345276 0.69419314]
Lasso,10,3,r2_score,yes,[-2.54225658e-01 -1.85897290e-01 -2.24943189e+02]
Lasso,10,3,r2_score,no,[-0.12515302 -0.33345276 -0.69419314]
Lasso,10,3,mae,yes,[-0.75341181 -1.2139069  -0.61692839]
Lasso,10,3,mae,no,[-0.61132319 -1.25632501 -0.64799153]
Lasso,10,3,mse,yes,[2.54225658e-01 1.85897290e-01 2.24943189e+02]
Lasso,10,3,mse,no,[0.12515302 0.33345276 0.69419314]
Lasso,11,3,r2_score,yes,[-2.54225658e-01 -1.85897290e-01 -2.24943189e+02]
Lasso,11,3,r2_score,no,[-0.12515302 -0.33345276 -0.69419314]
Lasso,11,3,mae,yes,[-0.75341181 -1.2139069  -0.61692839]
Lasso,11,3,mae,no,[-0.61132319 -1.25632501 -0.64799153]
Lasso,11,3,mse,yes,[2.54225658e-01 1.85897290e-01 2.24943189e+02]
Lasso,11,3,mse,no,[0.12515302 0.33345276 0.69419314]
Lasso,12,3,r2_score,yes,[-2.54225658e-01 -1.85897290e-01 -2.24943189e+02]
Lasso,12,3,r2_score,no,[-0.12515302 -0.33345276 -0.69419314]
Lasso,12,3,mae,yes,[-0.75341181 -1.2139069  -0.61692839]
Lasso,12,3,mae,no,[-0.61132319 -1.25632501 -0.64799153]
Lasso,12,3,mse,yes,[2.54225658e-01 1.85897290e-01 2.24943189e+02]
Lasso,12,3,mse,no,[0.12515302 0.33345276 0.69419314]
Lasso,13,3,r2_score,yes,[-2.54225658e-01 -1.85897290e-01 -2.24943189e+02]
Lasso,13,3,r2_score,no,[-0.12515302 -0.33345276 -0.69419314]
Lasso,13,3,mae,yes,[-0.75341181 -1.2139069  -0.61692839]
Lasso,13,3,mae,no,[-0.61132319 -1.25632501 -0.64799153]
Lasso,13,3,mse,yes,[2.54225658e-01 1.85897290e-01 2.24943189e+02]
Lasso,13,3,mse,no,[0.12515302 0.33345276 0.69419314]
Lasso,14,3,r2_score,yes,[-2.54225658e-01 -1.85897290e-01 -2.24943189e+02]
Lasso,14,3,r2_score,no,[-0.12515302 -0.33345276 -0.69419314]
Lasso,14,3,mae,yes,[-0.75341181 -1.2139069  -0.61692839]
Lasso,14,3,mae,no,[-0.61132319 -1.25632501 -0.64799153]
Lasso,14,3,mse,yes,[2.54225658e-01 1.85897290e-01 2.24943189e+02]
Lasso,14,3,mse,no,[0.12515302 0.33345276 0.69419314]
Lasso,15,3,r2_score,yes,[-2.54225658e-01 -1.85897290e-01 -2.24943189e+02]
Lasso,15,3,r2_score,no,[-0.12515302 -0.33345276 -0.69419314]
Lasso,15,3,mae,yes,[-0.75341181 -1.2139069  -0.61692839]
Lasso,15,3,mae,no,[-0.61132319 -1.25632501 -0.64799153]
Lasso,15,3,mse,yes,[2.54225658e-01 1.85897290e-01 2.24943189e+02]
Lasso,15,3,mse,no,[0.12515302 0.33345276 0.69419314]
Lasso,2,4,r2_score,yes,[-7.91217738e-02 -4.79874743e-03 -3.78066464e-01 -1.89793893e+02]
Lasso,2,4,r2_score,no,[-7.74539161e-02 -1.01997701e-01 -7.84330098e-01 -1.96699870e+02]
Lasso,2,4,mae,yes,[-0.6542481  -0.57134872 -1.38106018 -0.58117168]
Lasso,2,4,mae,no,[-0.61008334 -0.4268308  -1.60958405 -0.57599206]
Lasso,2,4,mse,yes,[7.91217738e-02 4.79874743e-03 3.78066464e-01 1.89793893e+02]
Lasso,2,4,mse,no,[7.74539161e-02 1.01997701e-01 7.84330098e-01 1.96699870e+02]
Lasso,3,4,r2_score,yes,[-7.91217738e-02 -4.79874743e-03 -3.78066464e-01 -1.89793893e+02]
Lasso,3,4,r2_score,no,[-7.74539161e-02 -1.01997701e-01 -7.84330098e-01 -1.96699870e+02]
Lasso,3,4,mae,yes,[-0.6542481  -0.57134872 -1.38106018 -0.58117168]
Lasso,3,4,mae,no,[-0.61008334 -0.4268308  -1.60958405 -0.57599206]
Lasso,3,4,mse,yes,[7.91217738e-02 4.79874743e-03 3.78066464e-01 1.89793893e+02]
Lasso,3,4,mse,no,[7.74539161e-02 1.01997701e-01 7.84330098e-01 1.96699870e+02]
Lasso,4,4,r2_score,yes,[-7.91217738e-02 -4.79874743e-03 -3.78066464e-01 -1.89793893e+02]
Lasso,4,4,r2_score,no,[-7.74539161e-02 -1.01997701e-01 -7.84330098e-01 -1.96699870e+02]
Lasso,4,4,mae,yes,[-0.6542481  -0.57134872 -1.38106018 -0.58117168]
Lasso,4,4,mae,no,[-0.61008334 -0.4268308  -1.60958405 -0.57599206]
Lasso,4,4,mse,yes,[7.91217738e-02 4.79874743e-03 3.78066464e-01 1.89793893e+02]
Lasso,4,4,mse,no,[7.74539161e-02 1.01997701e-01 7.84330098e-01 1.96699870e+02]
Lasso,5,4,r2_score,yes,[-7.91217738e-02 -4.79874743e-03 -3.78066464e-01 -1.89793893e+02]
Lasso,5,4,r2_score,no,[-7.74539161e-02 -1.01997701e-01 -7.84330098e-01 -1.96699870e+02]
Lasso,5,4,mae,yes,[-0.6542481  -0.57134872 -1.38106018 -0.58117168]
Lasso,5,4,mae,no,[-0.61008334 -0.4268308  -1.60958405 -0.57599206]
Lasso,5,4,mse,yes,[7.91217738e-02 4.79874743e-03 3.78066464e-01 1.89793893e+02]
Lasso,5,4,mse,no,[7.74539161e-02 1.01997701e-01 7.84330098e-01 1.96699870e+02]
Lasso,6,4,r2_score,yes,[-7.91217738e-02 -4.79874743e-03 -3.78066464e-01 -1.89793893e+02]
Lasso,6,4,r2_score,no,[-7.74539161e-02 -1.01997701e-01 -7.84330098e-01 -1.96699870e+02]
Lasso,6,4,mae,yes,[-0.6542481  -0.57134872 -1.38106018 -0.58117168]
Lasso,6,4,mae,no,[-0.61008334 -0.4268308  -1.60958405 -0.57599206]
Lasso,6,4,mse,yes,[7.91217738e-02 4.79874743e-03 3.78066464e-01 1.89793893e+02]
Lasso,6,4,mse,no,[7.74539161e-02 1.01997701e-01 7.84330098e-01 1.96699870e+02]
Lasso,7,4,r2_score,yes,[-7.91217738e-02 -4.79874743e-03 -3.78066464e-01 -1.89793893e+02]
Lasso,7,4,r2_score,no,[-7.74539161e-02 -1.01997701e-01 -7.84330098e-01 -1.96699870e+02]
Lasso,7,4,mae,yes,[-0.6542481  -0.57134872 -1.38106018 -0.58117168]
Lasso,7,4,mae,no,[-0.61008334 -0.4268308  -1.60958405 -0.57599206]
Lasso,7,4,mse,yes,[7.91217738e-02 4.79874743e-03 3.78066464e-01 1.89793893e+02]
Lasso,7,4,mse,no,[7.74539161e-02 1.01997701e-01 7.84330098e-01 1.96699870e+02]
Lasso,8,4,r2_score,yes,[-7.91217738e-02 -4.79874743e-03 -3.78066464e-01 -1.89793893e+02]
Lasso,8,4,r2_score,no,[-7.74539161e-02 -1.01997701e-01 -7.84330098e-01 -1.96699870e+02]
Lasso,8,4,mae,yes,[-0.6542481  -0.57134872 -1.38106018 -0.58117168]
Lasso,8,4,mae,no,[-0.61008334 -0.4268308  -1.60958405 -0.57599206]
Lasso,8,4,mse,yes,[7.91217738e-02 4.79874743e-03 3.78066464e-01 1.89793893e+02]
Lasso,8,4,mse,no,[7.74539161e-02 1.01997701e-01 7.84330098e-01 1.96699870e+02]
Lasso,9,4,r2_score,yes,[-7.91217738e-02 -4.79874743e-03 -3.78066464e-01 -1.89793893e+02]
Lasso,9,4,r2_score,no,[-7.74539161e-02 -1.01997701e-01 -7.84330098e-01 -1.96699870e+02]
Lasso,9,4,mae,yes,[-0.6542481  -0.57134872 -1.38106018 -0.58117168]
Lasso,9,4,mae,no,[-0.61008334 -0.4268308  -1.60958405 -0.57599206]
Lasso,9,4,mse,yes,[7.91217738e-02 4.79874743e-03 3.78066464e-01 1.89793893e+02]
Lasso,9,4,mse,no,[7.74539161e-02 1.01997701e-01 7.84330098e-01 1.96699870e+02]
Lasso,10,4,r2_score,yes,[-7.91217738e-02 -4.79874743e-03 -3.78066464e-01 -1.89793893e+02]
Lasso,10,4,r2_score,no,[-7.74539161e-02 -1.01997701e-01 -7.84330098e-01 -1.96699870e+02]
Lasso,10,4,mae,yes,[-0.6542481  -0.57134872 -1.38106018 -0.58117168]
Lasso,10,4,mae,no,[-0.61008334 -0.4268308  -1.60958405 -0.57599206]
Lasso,10,4,mse,yes,[7.91217738e-02 4.79874743e-03 3.78066464e-01 1.89793893e+02]
Lasso,10,4,mse,no,[7.74539161e-02 1.01997701e-01 7.84330098e-01 1.96699870e+02]
